maintenance_id,timestamp,material_id,quantity,maintenance_type,bike_age_months,mileage,notes
MAINT-0001,2024-01-01,MAT-STD-002,3,WEAR_REPLACEMENT,45,2250,Normal wear replacement - 45 months old
MAINT-0002,2024-01-03,MAT-STD-002,2,SCHEDULED_MAINTENANCE,8,2000,Brake pad replacement at 2000 miles
MAINT-0003,2024-01-03,MAT-STD-003,1,SCHEDULED_MAINTENANCE,23,2000,Chain replacement at 2000 miles
MAINT-0004,2024-01-03,MAT-STD-001,1,SCHEDULED_MAINTENANCE,36,2000,Tire replacement at 2000 miles
MAINT-0005,2024-01-03,MAT-STD-002,1,SCHEDULED_MAINTENANCE,10,3000,Brake pad replacement at 3000 miles
MAINT-0006,2024-01-03,MAT-STD-003,1,SCHEDULED_MAINTENANCE,23,3000,Chain replacement at 3000 miles
MAINT-0007,2024-01-03,MAT-STD-001,2,SCHEDULED_MAINTENANCE,5,3000,Tire replacement at 3000 miles
MAINT-0008,2024-01-07,MAT-STD-001,1,WEAR_REPLACEMENT,36,1800,Normal wear replacement - 36 months old
MAINT-0009,2024-01-10,MAT-STD-001,1,SCHEDULED_MAINTENANCE,13,1000,Brake or tire service at 1000 miles
MAINT-0010,2024-01-11,MAT-STD-001,1,SCHEDULED_MAINTENANCE,18,1000,Brake or tire service at 1000 miles
MAINT-0011,2024-01-11,MAT-BAT-001,1,WEATHER_DAMAGE,24,1200,Cold weather battery failure
MAINT-0012,2024-01-12,MAT-STD-002,1,WEAR_REPLACEMENT,7,350,Normal wear replacement - 7 months old
MAINT-0013,2024-01-13,MAT-BAT-001,1,WEATHER_DAMAGE,32,1600,Cold weather battery failure
MAINT-0014,2024-01-17,MAT-STD-002,1,SCHEDULED_MAINTENANCE,16,3000,Brake pad replacement at 3000 miles
MAINT-0015,2024-01-17,MAT-STD-003,1,SCHEDULED_MAINTENANCE,13,3000,Chain replacement at 3000 miles
MAINT-0016,2024-01-17,MAT-STD-001,1,SCHEDULED_MAINTENANCE,27,3000,Tire replacement at 3000 miles
MAINT-0017,2024-01-17,MAT-STD-003,1,WEAR_REPLACEMENT,13,650,Normal wear replacement - 13 months old
MAINT-0018,2024-01-19,MAT-STD-001,2,SCHEDULED_MAINTENANCE,27,1000,Brake or tire service at 1000 miles
MAINT-0019,2024-01-19,MAT-STD-002,2,SCHEDULED_MAINTENANCE,8,3000,Brake pad replacement at 3000 miles
MAINT-0020,2024-01-19,MAT-STD-003,1,SCHEDULED_MAINTENANCE,30,3000,Chain replacement at 3000 miles
MAINT-0021,2024-01-19,MAT-STD-001,2,SCHEDULED_MAINTENANCE,26,3000,Tire replacement at 3000 miles
MAINT-0022,2024-01-20,MAT-STD-003,3,WEAR_REPLACEMENT,15,750,Normal wear replacement - 15 months old
MAINT-0023,2024-01-25,MAT-STD-003,1,ACCIDENT_REPAIR,26,1300,Accident damage repair
MAINT-0024,2024-01-25,MAT-MOT-001,1,ACCIDENT_REPAIR,26,1300,Accident damage repair
