transaction_id,timestamp,product_id,quantity_sold
TXN-20240101-001,2024-01-01 13:15:00,EBIKE-URBAN-2024,2
TXN-20240102-002,2024-01-02 19:47:00,EBIKE-MOUNTAIN-2024,1
TXN-20240103-003,2024-01-03 12:14:00,EBIKE-URBAN-2024,1
TXN-20240104-004,2024-01-04 12:45:00,EBIKE-MOUNTAIN-2024,1
TXN-20240105-005,2024-01-05 09:48:00,EBIKE-MOUNTAIN-2024,1
TXN-20240106-006,2024-01-06 14:17:00,EBIKE-URBAN-2024,3
TXN-20240106-007,2024-01-06 14:06:00,EBIKE-URBAN-2024,1
TXN-20240107-008,2024-01-07 09:46:00,EBIKE-URBAN-2024,1
TXN-20240107-009,2024-01-07 15:05:00,EBIKE-URBAN-2024,2
TXN-20240108-010,2024-01-08 18:56:00,EBIKE-MOUNTAIN-2024,1
TXN-20240109-011,2024-01-09 12:49:00,EBIKE-URBAN-2024,1
TXN-20240110-012,2024-01-10 12:55:00,EBIKE-URBAN-2024,1
TXN-20240111-013,2024-01-11 14:22:00,EBIKE-URBAN-2024,1
TXN-20240112-014,2024-01-12 19:41:00,EBIKE-URBAN-2024,1
TXN-20240113-015,2024-01-13 16:24:00,EBIKE-URBAN-2024,3
TXN-20240114-016,2024-01-14 17:14:00,EBIKE-MOUNTAIN-2024,2
TXN-20240115-017,2024-01-15 09:51:00,EBIKE-URBAN-2024,1
TXN-20240116-018,2024-01-16 12:58:00,EBIKE-MOUNTAIN-2024,2
TXN-20240117-019,2024-01-17 15:56:00,EBIKE-MOUNTAIN-2024,1
TXN-20240118-020,2024-01-18 13:08:00,EBIKE-URBAN-2024,1
TXN-20240118-021,2024-01-18 13:47:00,EBIKE-URBAN-2024,2
TXN-20240119-022,2024-01-19 11:32:00,EBIKE-URBAN-2024,2
TXN-20240120-023,2024-01-20 10:09:00,EBIKE-MOUNTAIN-2024,2
TXN-20240120-024,2024-01-20 15:38:00,EBIKE-URBAN-2024,1
TXN-20240121-025,2024-01-21 17:55:00,EBIKE-MOUNTAIN-2024,1
TXN-20240121-026,2024-01-21 10:43:00,EBIKE-MOUNTAIN-2024,2
TXN-20240122-027,2024-01-22 19:21:00,EBIKE-URBAN-2024,1
TXN-20240123-028,2024-01-23 13:32:00,EBIKE-MOUNTAIN-2024,1
TXN-20240124-029,2024-01-24 10:55:00,EBIKE-MOUNTAIN-2024,2
TXN-20240125-030,2024-01-25 14:48:00,EBIKE-URBAN-2024,3
TXN-20240126-031,2024-01-26 17:58:00,EBIKE-URBAN-2024,1
TXN-20240127-032,2024-01-27 13:15:00,EBIKE-URBAN-2024,2
TXN-20240127-033,2024-01-27 10:05:00,EBIKE-MOUNTAIN-2024,2
TXN-20240127-034,2024-01-27 17:49:00,EBIKE-URBAN-2024,1
TXN-20240128-035,2024-01-28 17:10:00,EBIKE-URBAN-2024,2
TXN-20240129-036,2024-01-29 17:48:00,EBIKE-MOUNTAIN-2024,1
TXN-20240130-037,2024-01-30 13:25:00,EBIKE-MOUNTAIN-2024,1
TXN-20240131-038,2024-01-31 10:15:00,EBIKE-URBAN-2024,1
TXN-20240201-039,2024-02-01 18:35:00,EBIKE-URBAN-2024,1
TXN-20240202-040,2024-02-02 12:04:00,EBIKE-MOUNTAIN-2024,2
TXN-20240202-041,2024-02-02 10:32:00,EBIKE-URBAN-2024,1
TXN-20240203-042,2024-02-03 12:34:00,EBIKE-URBAN-2024,3
TXN-20240203-043,2024-02-03 18:36:00,EBIKE-URBAN-2024,2
TXN-20240204-044,2024-02-04 10:42:00,EBIKE-URBAN-2024,1
TXN-20240205-045,2024-02-05 16:55:00,EBIKE-MOUNTAIN-2024,1
TXN-20240206-046,2024-02-06 15:46:00,EBIKE-URBAN-2024,2
TXN-20240207-047,2024-02-07 12:12:00,EBIKE-URBAN-2024,1
