forecast_id,material_id,forecast_period,predicted_demand,confidence_level,forecast_date,notes
DF001,MAT001,2026-03,450,0.85,2026-02-15,Q1 production ramp-up
DF002,MAT001,2026-04,520,0.82,2026-02-15,Spring season increase
DF003,MAT001,2026-05,580,0.78,2026-02-15,Peak season approaching
DF004,MAT002,2026-03,450,0.88,2026-02-15,Aligned with frame demand
DF005,MAT002,2026-04,520,0.85,2026-02-15,Spring demand
DF006,MAT002,2026-05,580,0.80,2026-02-15,Peak season
DF007,MAT003,2026-03,450,0.90,2026-02-15,Critical component
DF008,MAT003,2026-04,520,0.87,2026-02-15,High confidence
DF009,MAT003,2026-05,580,0.83,2026-02-15,Stable demand pattern
DF010,MAT004,2026-03,900,0.82,2026-02-15,2 wheels per bike
DF011,MAT004,2026-04,1040,0.79,2026-02-15,Seasonal increase
DF012,MAT004,2026-05,1160,0.75,2026-02-15,Peak demand
DF013,MAT005,2026-03,450,0.84,2026-02-15,Standard component
DF014,MAT005,2026-04,520,0.81,2026-02-15,Spring orders
DF015,MAT005,2026-05,580,0.77,2026-02-15,Summer preparation
DF016,MAT006,2026-03,450,0.86,2026-02-15,Display demand stable
DF017,MAT006,2026-04,520,0.83,2026-02-15,Consistent pattern
DF018,MAT006,2026-05,580,0.79,2026-02-15,Seasonal uptick
DF019,MAT007,2026-03,450,0.89,2026-02-15,Controller forecast
DF020,MAT007,2026-04,520,0.86,2026-02-15,Spring production
DF021,MAT007,2026-05,580,0.82,2026-02-15,Peak season prep
DF022,MAT008,2026-03,450,0.83,2026-02-15,Sensor demand
DF023,MAT008,2026-04,520,0.80,2026-02-15,Moderate confidence
DF024,MAT008,2026-05,580,0.76,2026-02-15,Variable demand
DF025,MAT009,2026-03,450,0.87,2026-02-15,Wiring harness
DF026,MAT009,2026-04,520,0.84,2026-02-15,Stable forecast
DF027,MAT009,2026-05,580,0.80,2026-02-15,Consistent pattern
DF028,MAT010,2026-03,450,0.85,2026-02-15,Charging port demand
DF029,MAT010,2026-04,520,0.82,2026-02-15,Spring orders
DF030,MAT010,2026-05,580,0.78,2026-02-15,Peak season
DF031,MAT011,2026-03,225,0.84,2026-02-15,Premium model only
DF032,MAT011,2026-04,260,0.81,2026-02-15,50% of total demand
DF033,MAT011,2026-05,290,0.77,2026-02-15,Premium segment
DF034,MAT012,2026-03,225,0.83,2026-02-15,Standard model only
DF035,MAT012,2026-04,260,0.80,2026-02-15,50% of production
DF036,MAT012,2026-05,290,0.76,2026-02-15,Standard segment
DF037,MAT013,2026-03,450,0.88,2026-02-15,Brake system demand
DF038,MAT013,2026-04,520,0.85,2026-02-15,Safety critical
DF039,MAT013,2026-05,580,0.81,2026-02-15,High priority
DF040,MAT014,2026-03,450,0.86,2026-02-15,Pedal demand
DF041,MAT014,2026-04,520,0.83,2026-02-15,Standard component
DF042,MAT014,2026-05,580,0.79,2026-02-15,Consistent orders
DF043,MAT015,2026-03,450,0.84,2026-02-15,Handlebar forecast
DF044,MAT015,2026-04,520,0.81,2026-02-15,Spring demand
DF045,MAT015,2026-05,580,0.77,2026-02-15,Peak season
DF046,MAT016,2026-03,450,0.82,2026-02-15,Seat demand
DF047,MAT016,2026-04,520,0.79,2026-02-15,Variable patterns
DF048,MAT016,2026-05,580,0.75,2026-02-15,Seasonal variation
DF049,MAT017,2026-03,225,0.85,2026-02-15,Premium suspension
DF050,MAT017,2026-04,260,0.82,2026-02-15,Premium model only
DF051,MAT017,2026-05,290,0.78,2026-02-15,High-end component
DF052,MAT018,2026-03,450,0.87,2026-02-15,Chain demand
DF053,MAT018,2026-04,520,0.84,2026-02-15,Standard part
DF054,MAT018,2026-05,580,0.80,2026-02-15,Consistent forecast
