defect_id,supplier_id,material_id,defect_date,severity,category,quantity_affected,batch_id,description,root_cause,status,recall_initiated,resolution_date,corrective_action
DEF-001,SUP-001,MAT-BAT-001,2024-01-12,CRITICAL,ELECTRICAL,45,BATCH-2024-001,Battery cells failing thermal runaway test under load,Faulty cathode material from sub-supplier,RESOLVED,TRUE,2024-01-28,Supplier replaced cathode source and added incoming inspection
DEF-002,SUP-001,MAT-BAT-001,2023-11-05,MAJOR,ELECTRICAL,12,BATCH-2023-042,BMS communication dropout during charge cycle,Firmware version mismatch in BMS controller,RESOLVED,FALSE,2023-11-18,Firmware update applied to all units
DEF-003,SUP-002,MAT-BAT-001,2024-01-20,MINOR,COSMETIC,8,BATCH-2024-003,Scratched battery casing on delivery,Inadequate packaging during transit,RESOLVED,FALSE,2024-01-25,Packaging redesigned with foam inserts
DEF-004,SUP-004,MAT-MOT-001,2023-12-15,CRITICAL,MECHANICAL,22,BATCH-2023-038,Motor bearing failure at 500h runtime test,Bearing tolerance out of spec from heat treatment,RESOLVED,TRUE,2024-01-10,Heat treatment process recalibrated
DEF-005,SUP-005,MAT-MOT-001,2024-01-08,MAJOR,PERFORMANCE,15,BATCH-2024-002,Motor output 12% below rated 750W specification,Winding insulation degradation from humidity exposure,OPEN,FALSE,,Under investigation — humidity control being added
DEF-006,SUP-004,MAT-MOT-003,2023-11-22,MINOR,ELECTRICAL,5,BATCH-2023-040,Controller intermittent reset under vibration,Loose solder joint on main PCB,RESOLVED,FALSE,2023-12-05,Wave soldering parameters adjusted
DEF-007,SUP-007,MAT-FRM-001,2024-01-15,MAJOR,STRUCTURAL,18,BATCH-2024-004,Weld crack detected at head tube junction,Welding temperature too low for 6061-T6 alloy,OPEN,TRUE,,Welding procedure under review — all frames from batch quarantined
DEF-008,SUP-009,MAT-FRM-001,2023-12-01,MINOR,COSMETIC,30,BATCH-2023-036,Paint adhesion failure on downtube,Surface prep skipped before powder coating,RESOLVED,FALSE,2023-12-15,Surface prep step added to QC checklist
DEF-009,SUP-010,MAT-ELC-001,2024-01-18,MAJOR,ELECTRICAL,10,BATCH-2024-005,Display backlight flickering in cold temperatures,LCD driver IC thermal compensation fault,OPEN,FALSE,,Replacement IC being evaluated
DEF-010,SUP-013,MAT-STD-001,2023-11-10,CRITICAL,MECHANICAL,35,BATCH-2023-039,Brake caliper piston seal leak under pressure,Seal material incompatible with new brake fluid formula,RESOLVED,TRUE,2023-12-02,Seal material changed to EPDM compound
DEF-011,SUP-014,MAT-STD-002,2024-01-05,MINOR,MECHANICAL,7,BATCH-2024-001,Spoke tension inconsistency across wheel set,Automated tensioning machine calibration drift,RESOLVED,FALSE,2024-01-12,Machine recalibrated and daily checks added
DEF-012,SUP-003,MAT-BAT-002,2023-12-20,MAJOR,ELECTRICAL,20,BATCH-2023-044,BMS over-voltage protection triggering prematurely,Voltage reference resistor tolerance too wide,RESOLVED,FALSE,2024-01-08,Tighter tolerance resistors specified
DEF-013,SUP-006,MAT-MOT-002,2024-01-25,MINOR,PERFORMANCE,4,BATCH-2024-006,Hub motor slight vibration at high RPM,Rotor magnet alignment 0.3mm off-center,OPEN,FALSE,,Alignment jig being redesigned
DEF-014,SUP-011,MAT-ELC-002,2023-12-08,MAJOR,ELECTRICAL,25,BATCH-2023-041,Wiring harness connector corrosion after salt spray test,Connector plating thickness below spec,RESOLVED,TRUE,2024-01-02,Plating process upgraded to mil-spec
DEF-015,SUP-015,MAT-STD-002,2024-01-22,MINOR,COSMETIC,12,BATCH-2024-007,Rim anodizing color inconsistency between batches,Anodizing bath chemistry drift,OPEN,FALSE,,Bath monitoring system being installed
DEF-016,SUP-001,MAT-BAT-003,2024-01-28,MINOR,MECHANICAL,6,BATCH-2024-008,Charging port cover latch weak spring tension,Spring wire gauge undersized,RESOLVED,FALSE,2024-02-05,Spring gauge increased from 0.5mm to 0.7mm
DEF-017,SUP-005,MAT-MOT-004,2023-11-30,MAJOR,ELECTRICAL,14,BATCH-2023-043,Torque sensor signal noise causing pedal assist jitter,EMI shielding insufficient near motor,RESOLVED,FALSE,2023-12-18,Added ferrite cores and shielded cable
DEF-018,SUP-008,MAT-FRM-002,2024-01-10,CRITICAL,STRUCTURAL,8,BATCH-2024-003,Carbon fiber delamination at bottom bracket shell,Autoclave cure cycle temperature profile incorrect,OPEN,TRUE,,Full batch recalled — cure cycle being revalidated
DEF-019,SUP-012,MAT-ELC-001,2023-12-28,MINOR,ELECTRICAL,3,BATCH-2023-045,Display touch response lag in rain conditions,Capacitive touch calibration not accounting for water,RESOLVED,FALSE,2024-01-15,Touch algorithm updated for wet conditions
DEF-020,SUP-014,MAT-STD-003,2024-01-30,MINOR,MECHANICAL,9,BATCH-2024-009,Tire sidewall cracking after UV exposure test,Rubber compound UV stabilizer insufficient,OPEN,FALSE,,New UV stabilizer formulation being tested
