supplier_material_id,supplier_id,material_id,base_price,currency,effective_date,minimum_order_quantity,lead_time_days,quality_certification,sustainability_score,carbon_footprint_kg
SM-001,SUP-001,MAT-BAT-001,331.19,USD,2024-01-01,120,38,ISO 9001 UL Listed,7.80,12.50
SM-002,SUP-002,MAT-BAT-001,804.95,USD,2024-01-01,50,9,ISO 9001 CE TUV,9.40,8.80
SM-003,SUP-003,MAT-BAT-001,380.00,USD,2024-01-01,200,45,UL Listed RoHS,6.20,14.20
SM-004,SUP-001,MAT-BAT-002,54.79,USD,2024-01-01,250,49,ISO 9001,7.50,0.80
SM-005,SUP-002,MAT-BAT-002,146.31,USD,2024-01-01,80,10,ISO 9001 CE TUV,9.30,0.50
SM-006,SUP-003,MAT-BAT-002,68.00,USD,2024-01-01,400,48,UL Listed,6.00,1.10
SM-007,SUP-001,MAT-BAT-003,17.95,USD,2024-01-01,350,38,ISO 9001,7.20,0.30
SM-008,SUP-003,MAT-BAT-003,18.00,USD,2024-01-01,500,50,UL Listed,5.80,0.45
SM-009,SUP-004,MAT-MOT-001,624.22,USD,2024-01-01,30,7,ISO 9001 CE TUV,9.60,6.50
SM-010,SUP-005,MAT-MOT-001,385.00,USD,2024-01-01,80,30,ISO 9001 CE,8.00,9.20
SM-011,SUP-006,MAT-MOT-001,335.00,USD,2024-01-01,150,48,UL Listed,6.30,12.10
SM-012,SUP-004,MAT-MOT-002,472.63,USD,2024-01-01,35,11,ISO 9001 CE TUV,9.50,5.80
SM-013,SUP-005,MAT-MOT-002,270.00,USD,2024-01-01,90,30,ISO 9001,8.00,8.50
SM-014,SUP-006,MAT-MOT-002,235.00,USD,2024-01-01,160,50,UL Listed,6.10,11.00
SM-015,SUP-004,MAT-MOT-003,217.11,USD,2024-01-01,80,7,ISO 9001 CE TUV,9.40,0.85
SM-016,SUP-005,MAT-MOT-003,115.00,USD,2024-01-01,220,32,ISO 9001,7.80,1.35
SM-017,SUP-004,MAT-MOT-004,109.86,USD,2024-01-01,120,7,ISO 9001 CE TUV,9.30,0.35
SM-018,SUP-005,MAT-MOT-004,58.00,USD,2024-01-01,350,35,ISO 9001,7.50,0.65
SM-019,SUP-007,MAT-FRM-001,236.14,USD,2024-01-01,120,25,ISO 9001,8.00,5.80
SM-020,SUP-009,MAT-FRM-001,132.00,USD,2024-01-01,250,45,ISO 9001 CE,6.50,7.50
SM-021,SUP-008,MAT-FRM-002,774.55,USD,2024-01-01,30,7,ISO 9001 JIS TUV,9.80,2.20
SM-022,SUP-009,MAT-FRM-002,365.00,USD,2024-01-01,100,45,ISO 9001 CE,6.80,5.50
SM-023,SUP-007,MAT-FRM-003,196.02,USD,2024-01-01,100,20,ISO 9001,7.80,3.20
SM-024,SUP-009,MAT-FRM-003,105.00,USD,2024-01-01,200,48,ISO 9001 CE,6.30,4.50
SM-025,SUP-007,MAT-FRM-004,55.46,USD,2024-01-01,220,22,ISO 9001,7.50,1.50
SM-026,SUP-009,MAT-FRM-004,32.00,USD,2024-01-01,400,48,ISO 9001,6.20,2.10
SM-027,SUP-010,MAT-ELC-001,56.98,USD,2024-01-01,200,55,ISO 9001 CE,6.20,1.10
SM-028,SUP-011,MAT-ELC-001,95.00,USD,2024-01-01,100,25,UL Listed FCC,8.50,0.70
SM-029,SUP-012,MAT-ELC-001,68.25,USD,2024-01-01,60,29,ISO 9001 TUV,9.20,0.55
SM-030,SUP-010,MAT-ELC-002,23.54,USD,2024-01-01,280,55,ISO 9001,6.00,1.60
SM-031,SUP-011,MAT-ELC-002,58.00,USD,2024-01-01,140,24,UL Listed,8.40,1.00
SM-032,SUP-010,MAT-ELC-003,8.65,USD,2024-01-01,500,62,ISO 9001,6.10,0.38
SM-033,SUP-011,MAT-ELC-003,18.50,USD,2024-01-01,200,22,UL Listed FCC,8.50,0.18
SM-034,SUP-013,MAT-STD-001,162.00,USD,2024-01-01,50,15,ISO 9001 CE TUV,9.50,5.50
SM-035,SUP-014,MAT-STD-001,98.00,USD,2024-01-01,180,45,ISO 9001,6.40,10.20
SM-036,SUP-015,MAT-STD-002,136.73,USD,2024-01-01,60,7,ISO 9001 CE TUV,9.60,1.80
SM-037,SUP-014,MAT-STD-002,72.00,USD,2024-01-01,200,45,ISO 9001,6.30,3.80
SM-038,SUP-013,MAT-STD-003,132.00,USD,2024-01-01,50,15,ISO 9001 CE TUV,9.20,2.80
SM-039,SUP-014,MAT-STD-003,78.00,USD,2024-01-01,180,45,ISO 9001,6.50,5.20
SM-040,SUP-013,MAT-STD-004,38.00,USD,2024-01-01,120,15,ISO 9001 CE,9.00,0.85
SM-041,SUP-014,MAT-STD-004,22.00,USD,2024-01-01,400,48,ISO 9001,6.20,1.80
